id,name,start_date,start_admin,agreement_date,close_admin,closed_date,status_result,closure_type,city,state,img
36,Beacon Police Department,8/3/04,Bush I,12/23/10,Obama I,,MOA ,Other settlement,BEACON ,NY ,beacon.jpg
37,Warren Police Department,11/29/04,Bush I,1/26/12,Obama I,,Consent Decree ,Consent Decrees,WARREN ,OH ,
38,Easton Police Department,10/14/05,Bush II,9/8/10,Obama I,,MOA ,Other settlement,EASTON ,PA ,easton.jpg
39,Orange County Sheriff's Office,1/10/07,Bush II,9/16/10,Obama I,4/4/13,MOA ,Other settlement,ORLANDO ,FL ,orangecounty.jpg
40,Austin Police Department,5/25/07,Bush II,5/27/11,Obama I,5/27/11,Closed without Agreement ,Closed without agreement,AUSTIN ,TX ,austin.jpg
41,Yonkers Police Department,7/24/07,Bush II,,,,TA Letter Issued/Investigation ,Ongoing,YONKERS ,NY ,
42,Puerto Rico Police Department,4/3/08,Bush II,7/17/13,Obama II,,Consent Decree ,Consent Decrees,SAN JUAN ,PR ,puertorico.jpg
43,Maricopa County Sheriff's Office,6/1/08,Bush II,,,,LITIGATION ,Ongoing,PHOENIX ,AZ ,maricopacounty.jpg
44,Harvey Police Department,9/5/08,Bush II,1/24/12,Obama I,1/24/12,Closed without Agreement ,Closed without agreement,HARVEY ,IL ,harvey2.jpg
45,Lorain Police Department,11/20/08,Bush II,5/22/12,Obama I,5/22/12,Closed without Agreement ,Closed without agreement,LORAIN ,OH ,lorain.jpg
46,Escambia County Sheriff's Office,1/9/09,Bush II,10/14/12,Obama I,10/14/12,Closed without Agreement ,Closed without agreement,PENSACOLA ,FL ,escambia.jpg
47,Inglewood Police Department,3/11/09,Obama I,,,,TA Letter Issued/Investigation ,Ongoing,INGLEWOOD ,CA ,inglewood.jpg
48,Suffolk County Police Department,9/9/09,Obama I,1/13/14,Obama II,,MOA ,Other settlement,YAPHANK ,NY ,
49,East Haven Police Department,9/30/09,Obama I,11/19/12,Obama I,,Consent Decree ,Consent Decrees,EAST HAVEN ,CT ,easthaven.jpg
50,New Orleans Police Department,5/15/10,Obama I,1/11/13,Obama II,,Consent Decree ,Consent Decrees,NEW ORLEANS ,LA ,
51,Alamance County Sheriff's Department,6/2/10,Obama I,,,,LITIGATION ,Ongoing,GRAHAM ,NC ,
52,Seattle Police Department,3/31/11,Obama I,7/27/12,Obama I,,Consent Decree/MOA ,Consent Decrees,SEATTLE ,WA ,seattle.jpg
53,Newark Police Department,5/9/11,Obama I,,,,Findings issued ,Ongoing,NEWARK ,NJ ,newark.jpg
54,Portland Police Bureau,6/7/11,Obama I,8/29/14,Obama II,,Consent Decree ,Consent Decrees,PORTLAND ,OR ,portland.jpg
55,LASD/Antelope Valley,8/19/11,Obama I,,,,Findings issued ,Ongoing,LOS ANGELES ,CA ,antelopevalley.jpg
56,Miami Police Department,11/16/11,Obama I,,,,Findings issued ,Ongoing,MIAMI ,FL ,
57,"Meridian, County of Lauderdale",11/29/11,Obama I,,,,LITIGATION ,Ongoing,MERIDIAN ,MS ,
58,Missoula Police Department,4/25/12,Obama I,5/15/13,Obama II,,MOA ,Other settlement,MISSOULA ,MT ,missoula.jpg
59,University of Montana Office of Public Safety,4/25/12,Obama I,5/9/13,Obama II,,MOA ,Other settlement,MISSOULA ,MT ,
60,Missoula County Attorney's Office,5/1/12,Obama I,6/10/14,Obama II,,MOA ,Other settlement,MISSOULA ,MT ,
61,Colorado City Police Department,6/12/12,Obama I,,,,LITIGATION ,Ongoing,COLORADO CITY ,AZ ,coloradocity.jpg
62,Albuquerque Police Department,11/27/12,Obama I,11/14/14,Obama II,,consent decree ,Consent Decrees,ALBUQUERQUE ,NM ,albuquerque2.jpg
63,Cleveland Police Department,3/1/13,Obama II,,,,Findings issued ,Ongoing,CLEVELAND ,OH ,cleveland2.jpg
64,Ferguson Police Department,9/1/14,Obama II,,,,Findings issued ,Ongoing,FERGUSON,MO ,ferguson.jpg
65,Evangeline Parish Sheriff's Office,4/21/15,Obama II,,,,Announced,Ongoing,VILLE PLATTE,LA,
66,Ville Platte Police Department,4/21/15,Obama II,,,,Announced,Ongoing,VILLE PLATTE,LA,villeplatte3.jpg
67,Baltimore Police Department,5/7/15,Obama II,,,,Announced,Ongoing,BALTIMORE,MD  ,baltimore.jpg
63,Cleveland Police Department,3/1/13,Obama II,5/26/15,Obama II,,Consent Decree ,Consent Decrees,CLEVELAND ,OH ,cleveland2.jpg
